With_1_cn[nH]
With_2_ccnc(c)-c
With_2_ccc(nc)-c(c)n
With_4_ccc(nc)-c(c)n
With_1_cc(c)CO
With_2_cc(c)CO
With_1_cccc(c)O
With_2_cccc(c)O
With_1_C#CC
With_2_C#CC
With_1_cccc(c)N
With_2_cccc(c)N
With_1_cc(c)N
With_4_cc(c)N
With_1_CCCN
With_1_CCCCN
With_2_CCCCN
With_2_ccc(O)c(c)O
With_1_CCNC(C)(C)C
With_2_CCNC(C)(C)C
With_3_CC(C)(N)CO
With_6_CC(C)(N)CO
With_1_NCC(=O)O
With_1_CNC(CO)(CO)CO
With_2_CNC(CO)(CO)CO
With_1_CC(C)(C)N
With_2_CC(C)(C)N
With_1_C=NC
With_3_C=NC
With_1_C=N
With_1_C=CC
With_2_C=CC
With_4_C=CC
With_1_CC(O)C(O)CO
With_1_CC(O)CO
With_1_C[C@H](O)[C@@H](O)[C@@H](C)O
With_2_C[C@H](O)[C@@H](O)[C@@H](C)O
With_6_C[C@H](O)[C@@H](O)[C@@H](C)O
With_1_CC=O
With_1_CC(=N)O
With_1_CCNCC
With_1_cc(c)P
With_2_cc(c)P
With_3_cc(c)P
With_1_OP
With_2_OP
With_4_OP
With_1_O=P
With_2_O=P
With_1_C[C@H](O)CO
With_2_C[C@H](O)CO
With_1_C[C@@H](O)[C@H](O)[C@@H](C)O
With_1_C[C@H](O)[C@H](O)CO
With_1_C[C@@H](C)O
With_2_C[C@@H](C)O
With_3_C[C@@H](C)O
With_4_C[C@@H](C)O
With_1_C[C@H](O)[C@@H](O)C=O
With_1_C[C@@H](O)C=O
With_1_c=O
With_3_cccc(c)P
With_4_cccc(c)P
With_2_O=S
With_6_O=S
With_1_CC(N)=O
With_5_CC(N)=O
With_1_CC(C)(C)O
With_1_cc(c)OC
With_2_cc(c)OC
With_1_ccnc(c)C
With_1_COC(c)=O
With_1_ccc(cc)OC
With_2_ccc(cc)OC
With_1_COc
With_2_COc
With_1_cc(O)ccn
With_2_cc(O)ccn
With_1_CCCCC
With_1_C#C
With_1_coc
With_1_C[NH3+]
With_1_CC(C)[NH3+]
With_1_CCC[C@@H](C)N
With_2_CCC[C@@H](C)N
With_1_cc(c)c
With_3_cc(c)c
With_1_cccc(c)c
With_3_cccc(c)c
With_1_cC[C@H](N)C(=O)O
With_1_ccc(cc)CC
With_2_ccc(cc)CC
With_1_cc(c)C[C@@H](C)N
With_2_cc(c)C[C@@H](C)N
With_1_cc(c)n
With_1_CCc
With_2_CCc
With_1_cc(n)n
With_1_CO[C@H](CO)[C@H](C)O
With_1_C[C@H](O)[C@H](O)[C@@H](C)O
With_1_C[C@@H](O)CO
With_2_C[C@@H](O)CO
With_2_NCCO
With_3_NCCO
With_1_CN(C)C
With_1_COC(OC)[C@@H](C)O
With_1_CO[C@@H]([C@@H](C)O)[C@@H](C)O
With_1_CO[C@H](CO)[C@@H](C)O
With_1_C[C@H](O)[C@@H](O)C(O)O
With_2_C[C@H](O)[C@@H](O)C(O)O
With_1_C[C@H](C)O[C@@H](C)O
